ISIN,Emisión,Vencimiento,Especie,Emisor
US912796V896,44600,44719,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LOS EE.UU.
UYBT05FFBUS2,37770,43889,BONOS DEL TESORO,BANCO CENTRAL DEL URUGUAY
US917288BC52,38674,44883,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
USP96006AE41,42906,44732,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE
US760942AZ58,41500,45518,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942AX01,40084,45928,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942AU61,39175,46482,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE
US760942BB71,42304,46687,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US917288BD36,40892,47102,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE
USP80557BV53,42993,46827,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE
USP80557AD64,39639,11149,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE
US917288BK78,43488,11346,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US917288BM35,44337,11464,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE
US917288BA96,37770,12069,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942BE11,44862,12720,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942AS16,38797,13230,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942AV45,39259,13692,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE
US917288BL51,44014,14794,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE
US760942AY83,41233,16761,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942BA98,41808,18432,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
US760942BD38,43210,20199,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE
UYONFU078UI1,42733,45289,ACCIONES CON INTERESES,FUCEREP
UYAAAF076UY7,42726,13506,ACC. PREF. EMPRESAS PRIVADAS,AREAFLIN S.A. VALENTINES
US040114HK99,42761,44587,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AL87,42761,44587,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HL72,42761,46413,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AM60,42761,46413,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HQ69,43111,46763,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HR43,43111,17543,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114GW47,42665,44308,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AA23,42482,44308,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
ARARGE320408,42843,45765,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114GX20,42665,46134,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AC88,42482,46134,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
ARARGE320416,42843,13623,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114GY03,42665,16914,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AE45,42482,16914,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AK05,42557,13337,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HF05,42741,46940,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
USP04808AJ32,42557,46940,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HG87,42741,13337,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
US040114HP86,43111,44937,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
XS1715535123,43048,17480,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
ARARGE3200U1,42285,44112,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
ARARGE320622,43294,43874,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA
