ISIN,Vencimiento,Especie,Emisor,Vencimiento
US912796V896,07-06-2022,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LOS EE.UU.,7/6/22
UYBT05FFBUS2,28-02-2020,BONOS DEL TESORO,BANCO CENTRAL DEL URUGUAY,28/2/20
US917288BC52,18-11-2022,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,18/11/22
USP96006AE41,20-06-2022,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE,20/6/22
US760942AZ58,14-08-2024,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,14/8/24
US760942AX01,28-09-2025,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,28/9/25
US760942AU61,05-04-2027,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE,5/4/27
US760942BB71,27-10-2027,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,27/10/27
US917288BD36,15-12-2028,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE,15/12/28
USP80557BV53,15-03-2028,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE,15/3/28
USP80557AD64,10-07-2030,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE,10/7/30
US917288BK78,23-01-2031,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,23/1/31
US917288BM35,21-05-2031,EUROBONOS R.O.U. - $U,GOBIERNO DE LA REP ORIENTAL DE,21/5/31
US917288BA96,15-01-2033,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,15/1/33
US760942BE11,28-10-2034,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,28/10/34
US760942AS16,21-03-2036,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,21/3/36
US760942AV45,26-06-2037,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE,26/6/37
US917288BL51,02-07-2040,EUROBONOS R.O.U. - UI,GOBIERNO DE LA REP ORIENTAL DE,2/7/40
US760942AY83,20-11-2045,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,20/11/45
US760942BA98,18-06-2050,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,18/6/50
US760942BD38,20-04-2055,EUROBONOS R.O.U.,GOBIERNO DE LA REP ORIENTAL DE,20/4/55
UYONFU078UI1,29-12-2023,ACCIONES CON INTERESES,FUCEREP,29/12/23
UYAAAF076UY7,22-12-2036,ACC. PREF. EMPRESAS PRIVADAS,AREAFLIN S.A. VALENTINES,22/12/36
DE0001135069,04-01-2028,BONOS SOBERANOS EXTRANJEROS,ALEMANIA,4/1/28
US040114HK99,26-01-2022,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,26/1/22
USP04808AL87,26-01-2022,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,26/1/22
US040114HL72,26-01-2027,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,26/1/27
USP04808AM60,26-01-2027,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,26/1/27
US040114HQ69,11-01-2028,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,11/1/28
US040114HR43,11-01-2048,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,11/1/48
US040114GW47,22-04-2021,BONOS SOBERANOS EXTRANJEROS,GOBIERNO DE LA REP.ARGENTINA,22/4/21
